Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","20",Ch1Unknown,"1","Manual",8000,QX200 ddPCR EvaGreen Supermix,160000,,,8600,7500,16223,18,,,,,,16241,,,,,,,,,,,,,,,,,,1,1,14216,20247,11195,20237,"",,,,8290,7740,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","4",Ch1Unknown,"1","Manual",8000,QX200 ddPCR EvaGreen Supermix,160000,,,8600,7500,15073,17,,,,,,15090,,,,,,,,,,,,,,,,,,1,1,13733,18933,11233,18924,"",,,,8280,7710,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","6",Ch1Unknown,"1","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,16598,,,,,,16598,,,,,,,,,,,,,,,,,,1,1,0,0,21311,21311,"",,,,,,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","8",Ch1Unknown,"1","OK",4.1,QX200 ddPCR EvaGreen Supermix,82,,,5.2,3.3,73,20684,,,,,,20757,,,,,,,,,,,,,,,,,,1,1,11111,16367,9370.6,9395.2,"",,,,4.65,3.68,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","10",Ch1Unknown,"1","OK",3470,QX200 ddPCR EvaGreen Supermix,69400,,,3540,3400,19197,1064,,,,,,20261,,,,,,,,,,,,,,,,,,1,1,11764,19501,8817.5,18940,"",,,,3502,3432,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","4",Ch1Unknown,"4","OK",10.8,QX200 ddPCR EvaGreen Supermix,216,,,12.4,9.1,163,17749,,,,,,17912,,,,,,,,,,,,,,,,,,1,1,10788,17863,8941.4,9022.6,"",,,,11.6,9.9,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","12",Ch1Unknown,"1","OK",4790,QX200 ddPCR EvaGreen Supermix,95800,,,4930,4650,15385,268,,,,,,15653,,,,,,,,,,,,,,,,,,1,1,14345,17884,11007,17766,"",,,,4860,4720,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","12",Ch1Unknown,"2","OK",574,QX200 ddPCR EvaGreen Supermix,11480,,,588,559,6080,9674,,,,,,15754,,,,,,,,,,,,,,,,,,1,1,12082,17991,10169,13188,"",,,,581,566,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","-1",Ch1Unknown,"NA","Manual",1.2,QX200 ddPCR EvaGreen Supermix,24,,,1.8,0.7,17,16896,,,,,,16913,,,,,,,,,,,,,,,,,,1,1,11568,14256,9837.6,9842,"",,,,1.49,0.92,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","12",Ch1Unknown,"3","OK",53.6,QX200 ddPCR EvaGreen Supermix,1072,,,57.1,50,863,18527,,,,,,19390,,,,,,,,,,,,,,,,,,1,1,10810,17386,8979.1,9353.3,"",,,,55.4,51.7,,,,,,,,,,,,,
