;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A02;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A03;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A04;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A05;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A06;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A07;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A08;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A09;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A10;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A11;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;A12;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B01;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B02;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B03;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B04;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B05;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B06;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B07;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B08;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B09;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B10;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B11;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;B12;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C01;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C02;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C03;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C04;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C05;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C06;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C07;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C08;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C09;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C10;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C11;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;C12;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D01;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D02;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D03;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D04;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D05;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D06;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D07;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D08;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D09;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D10;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D11;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;D12;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;E01;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;E02;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;E03;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
;E04;Cy5;;Unkn;;;NaN;0;0;NaN;NaN;0;0;52;
