Well,Status,Concentration,Negatives,AcceptedDroplets,Sample,sp,Dilu,plate,Used,TotalDNA,Concentration_std
A01,CHECK,NA,0,0,100,Spk1,1,1,FALSE,0.0625,NA
A02,OK,17.8,13643,13851,14,Pa,1,1,FALSE,0.0625,0.17800000000000002
A03,Manual,4230,401,14552,16,Lx,1,1,TRUE,0.0625,42.300000000000004
A04,OK,4690,274,14772,18,Aa,1,1,TRUE,0.0625,46.9
A05,Manual,7700,21,14223,20,Ac,1,1,TRUE,0.0625,77
A06,Manual,8500,11,15181,22,Bm,1,1,TRUE,0.0625,85
A07,Manual,9400,5,14896,32,Lc,1,1,TRUE,0.0625,94
A08,CHECK,0,15121,15121,24,Rc,1,1,FALSE,0.0625,0
A09,OK,2460,1755,14166,26,Cbp,1,1,TRUE,0.0625,24.6
A10,OK,4740,249,14013,28,Gr,1,1,TRUE,0.0625,47.4
A11,OK,2214,2347,15410,30,Rf,1,1,TRUE,0.0625,22.14
A12,CHECK,0,16565,16565,-1,Neg,1,1,FALSE,0.0625,0
B01,CHECK,0,12467,12467,100,Spk1,1,1,FALSE,0.0625,0
B02,CHECK,291.5395065085586,5676,7273,14,Pa,1,1,FALSE,0.0625,2.915395065085586
B03,OK,4360,331,13520,16,Lx,1,1,TRUE,0.0625,43.6
B04,Manual,4890,210,13424,18,Aa,1,1,TRUE,0.0625,48.9
B05,OK,8500,11,14998,20,Ac,1,1,TRUE,0.0625,85
B06,OK,7690,22,15171,22,Bm,1,1,TRUE,0.0625,76.9
B07,Manual,8400,12,15173,32,Lc,1,1,TRUE,0.0625,84
B08,CHECK,0,15596,15596,24,Rc,1,1,FALSE,0.0625,0
B09,Manual,2500,1793,14964,26,Cbp,1,1,TRUE,0.0625,25
B10,OK,4540,336,15900,28,Gr,1,1,TRUE,0.0625,45.4
B11,Manual,2072,2854,16603,30,Rf,1,1,TRUE,0.0625,20.72
B12,CHECK,0,15366,15366,-1,Neg,1,1,FALSE,0.0625,0
C01,Manual,2320,1721,12411,100,Spk1,2,1,TRUE,0.00625,231.99999999999997
C02,Manual,1.5,14271,14289,14,Pa,2,1,FALSE,0.00625,0.15
C03,OK,410,10140,14362,16,Lx,2,1,TRUE,0.00625,40.99999999999999
C04,OK,596,8602,14278,18,Aa,2,1,TRUE,0.00625,59.599999999999994
C05,OK,915,6381,13892,20,Ac,2,1,TRUE,0.00625,91.5
C06,OK,855,7062,14601,22,Bm,2,1,TRUE,0.00625,85.5
C07,CHECK,0,16062,16062,-1,Neg,2,1,FALSE,0.00625,0
C08,OK,1198,5901,16330,24,Rc,2,1,TRUE,0.00625,119.8
C09,OK,197,13079,15459,26,Cbp,2,1,TRUE,0.00625,19.7
C10,Manual,449,10619,15557,28,Gr,2,1,TRUE,0.00625,44.9
C11,OK,209,13771,16449,30,Rf,2,1,TRUE,0.00625,20.9
C12,Manual,870,7582,15879,32,Lc,2,1,TRUE,0.00625,87
D01,Manual,2560,1580,13864,100,Spk1,2,1,TRUE,0.00625,256
D02,Manual,2.1,16777,16807,14,Pa,2,1,FALSE,0.00625,0.21
D03,OK,372,10960,15031,16,Lx,2,1,TRUE,0.00625,37.2
D04,OK,559,9455,15201,18,Aa,2,1,TRUE,0.00625,55.9
D05,OK,865,6969,14542,20,Ac,2,1,TRUE,0.00625,86.5
D06,OK,805,7786,15430,22,Bm,2,1,TRUE,0.00625,80.5
D07,CHECK,0,14103,14103,-1,Neg,2,1,FALSE,0.00625,0
D08,OK,1303,5307,16062,24,Rc,2,1,TRUE,0.00625,130.3
D09,OK,238,13531,16562,26,Cbp,2,1,TRUE,0.00625,23.799999999999997
D10,OK,458,10568,15593,28,Gr,2,1,TRUE,0.00625,45.8
D11,OK,215,13574,16293,30,Rf,2,1,TRUE,0.00625,21.499999999999996
D12,Manual,874,8092,17012,32,Lc,2,1,TRUE,0.00625,87.39999999999999
E01,Manual,250,10238,12659,100,Spk1,3,1,TRUE,6.25e-4,250
E02,Manual,0.56,14738,14745,14,Pa,3,1,FALSE,6.25e-4,0.56
