Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,"",,,,,,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Tb2_I","OK",17.8,QX200 ddPCR EvaGreen Supermix,356,,,20.2,15.4,208,13643,,,,,,13851,,,,,,,,,,,,,,,,,,1,1,15901,20994,13861,13968,"",,,,19,16.6,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Fe12_I","Manual",4230,QX200 ddPCR EvaGreen Supermix,84600,,,4340,4120,14151,401,,,,,,14552,,,,,,,,,,,,,,,,,,1,1,14973,19755,12687,19560,"",,,,4280,4170,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_II-E","OK",4690,QX200 ddPCR EvaGreen Supermix,93800,,,4840,4560,14498,274,,,,,,14772,,,,,,,,,,,,,,,,,,1,1,16277,20303,13407,20175,"",,,,4760,4620,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lx15_I-E","Manual",7700,QX200 ddPCR EvaGreen Supermix,154000,,,8200,7200,14202,21,,,,,,14223,,,,,,,,,,,,,,,,,,1,1,15080,20271,12293,20259,"",,,,7930,7420,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Aa17_I","Manual",8500,QX200 ddPCR EvaGreen Supermix,170000,,,9300,7900,15170,11,,,,,,15181,,,,,,,,,,,,,,,,,,1,1,14935,19254,10402,19248,"",,,,8880,8170,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_II-E","Manual",9400,QX200 ddPCR EvaGreen Supermix,188000,,,10600,8500,14891,5,,,,,,14896,,,,,,,,,,,,,,,,,,1,1,14887,20065,10715,20062,"",,,,10000,8900,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15121,,,,,,15121,,,,,,,,,,,,,,,,,,1,1,0,0,18759,18759,"",,,,,,,,,,,,,,,,,,
"A09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_I","OK",2460,QX200 ddPCR EvaGreen Supermix,49200,,,2510,2410,12411,1755,,,,,,14166,,,,,,,,,,,,,,,,,,1,1,12578,18891,9942.2,17782,"",,,,2483,2431,,,,,,,,,,,,,
"A10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rc24_I-E","OK",4740,QX200 ddPCR EvaGreen Supermix,94800,,,4900,4600,13764,249,,,,,,14013,,,,,,,,,,,,,,,,,,1,1,12174,18767,9801.4,18607,"",,,,4820,4670,,,,,,,,,,,,,
