Rosa_canina,Briza_media,Lotus_corniculatus,Populus_tremula,Acer_campestre,Rhododendron_ferrugineum,Capsella_bursa-pastoris,Fraxinus_excelsior,Carpinus_betulus,Lonicera_xylosteum,Abies_alba,Salvia_pratensis,Geranium_robertianum
8292,2015,3644,6818,2696,1774,1169,1429,922,851,585,1319,748
6750,1442,2853,6099,1973,1040,755,1060,704,689,327,1111,467
18198,4715,7785,12148,6660,3079,2390,2782,1507,1874,1532,1823,1315
6226,1521,2719,4690,2164,805,753,926,530,605,325,655,343
19063,4745,8719,16019,6049,4416,2706,3443,2283,2205,1195,3075,2064
5101,1163,2229,4502,1514,1030,635,994,655,583,295,1082,453
9887,2085,4572,10736,2747,1691,1113,1615,1244,1075,302,1998,733
9362,2104,4018,10337,2454,1962,1135,1730,931,1025,469,1468,796
1699,451,719,1149,602,246,212,262,155,156,128,172,109
12121,2964,5525,8795,4168,2562,1670,1963,1237,1125,728,1650,1002
16995,3705,7264,14001,4877,3691,2090,3056,1790,1691,668,2392,1400
14678,3486,6371,10764,4783,2939,1901,2304,1544,1478,957,1933,1121
28145,6606,12136,22593,8564,6053,3992,4658,3130,2716,2025,4234,2746
7883,1704,3167,7925,2202,1563,864,1480,977,837,328,1671,735
2425,575,1075,2193,798,379,279,381,249,267,134,310,148
1770,337,693,1525,391,402,213,366,188,182,59,310,234
2843,666,1221,2988,835,677,314,554,321,297,150,532,343
2785,757,1181,1466,993,327,336,385,200,205,144,217,117
3550,1049,1851,2467,1638,492,417,427,277,315,340,295,174
