"","sp","K","species_name","prop_infer_Lambda"
"1","Aal",120442815200,"Abies_alba",4.77838636044827e-05
"2","Aal",1204428152000,"Abies_alba",4.49180644091762e-05
"3","Aal",12044281520000,"Abies_alba",4.70773322118909e-05
"4","Aal",120442815200000,"Abies_alba",4.85030469143441e-05
"5","Aal",1.204428152e+15,"Abies_alba",4.67080419955889e-05
"6","Aca",120442815200,"Acer_campestre",0.00175725199843645
"7","Aca",1204428152000,"Acer_campestre",0.00175208585853766
"8","Aca",12044281520000,"Acer_campestre",0.00174497378589634
"9","Aca",120442815200000,"Acer_campestre",0.00174793016361267
"10","Aca",1.204428152e+15,"Acer_campestre",0.00173918920451265
"11","Bme",120442815200,"Briza_media",0.530470407418835
"12","Bme",1204428152000,"Briza_media",0.529023870570817
"13","Bme",12044281520000,"Briza_media",0.529003064743485
"14","Bme",120442815200000,"Briza_media",0.529733666182207
"15","Bme",1.204428152e+15,"Briza_media",0.528360196971907
"16","Cbe",120442815200,"Carpinus_betulus",0.000335584193801988
"17","Cbe",1204428152000,"Carpinus_betulus",0.00033753992013726
"18","Cbe",12044281520000,"Carpinus_betulus",0.000335681507324503
"19","Cbe",120442815200000,"Carpinus_betulus",0.000336673421955563
"20","Cbe",1.204428152e+15,"Carpinus_betulus",0.000340074888858731
"21","Cbp",120442815200,"Capsella_bursa-pastoris",0.00153776447947666
"22","Cbp",1204428152000,"Capsella_bursa-pastoris",0.00154448004395831
"23","Cbp",12044281520000,"Capsella_bursa-pastoris",0.00154158361669286
"24","Cbp",120442815200000,"Capsella_bursa-pastoris",0.00154222013883582
"25","Cbp",1.204428152e+15,"Capsella_bursa-pastoris",0.00155734545549485
"26","Fex",120442815200,"Fraxinus_excelsior",0.00954948140345861
"27","Fex",1204428152000,"Fraxinus_excelsior",0.00951201742925767
"28","Fex",12044281520000,"Fraxinus_excelsior",0.00951587479835142
"29","Fex",120442815200000,"Fraxinus_excelsior",0.00953036395931327
"30","Fex",1.204428152e+15,"Fraxinus_excelsior",0.00948905379053852
"31","Gro",120442815200,"Geranium_robertianum",0.000855389895158949
"32","Gro",1204428152000,"Geranium_robertianum",0.000831582826324856
"33","Gro",12044281520000,"Geranium_robertianum",0.000859085899400616
"34","Gro",120442815200000,"Geranium_robertianum",0.00083762265812766
"35","Gro",1.204428152e+15,"Geranium_robertianum",0.000840952771578431
"36","Lco",120442815200,"Lotus_corniculatus",0.162354525869318
"37","Lco",1204428152000,"Lotus_corniculatus",0.162393313478679
"38","Lco",12044281520000,"Lotus_corniculatus",0.162489106980663
"39","Lco",120442815200000,"Lotus_corniculatus",0.162466931885395
"40","Lco",1.204428152e+15,"Lotus_corniculatus",0.162608700283306
"41","Lxy",120442815200,"Lonicera_xylosteum",0.0154640847580927
"42","Lxy",1204428152000,"Lonicera_xylosteum",0.0153764635863071
"43","Lxy",12044281520000,"Lonicera_xylosteum",0.0153868992151492
"44","Lxy",120442815200000,"Lonicera_xylosteum",0.0154030194702075
"45","Lxy",1.204428152e+15,"Lonicera_xylosteum",0.0154114837558679
"46","Ptr",120442815200,"Populus_tremula",0.055728235299536
"47","Ptr",1204428152000,"Populus_tremula",0.055838179952478
"48","Ptr",12044281520000,"Populus_tremula",0.0557827733078955
"49","Ptr",120442815200000,"Populus_tremula",0.0558634627945174
"50","Ptr",1.204428152e+15,"Populus_tremula",0.0558726820580258
"51","Rca",120442815200,"Rosa_canina",0.200583243259142
"52","Rca",1204428152000,"Rosa_canina",0.202269773462373
"53","Rca",12044281520000,"Rosa_canina",0.202088894623042
"54","Rca",120442815200000,"Rosa_canina",0.201428737888326
"55","Rca",1.204428152e+15,"Rosa_canina",0.202778062893713
"56","Rfe",120442815200,"Rhododendron_ferrugineum",0.000140837013243745
"57","Rfe",1204428152000,"Rhododendron_ferrugineum",0.000142507354782856
"58","Rfe",12044281520000,"Rhododendron_ferrugineum",0.000141139552916182
"59","Rfe",120442815200000,"Rhododendron_ferrugineum",0.000142467187221088
"60","Rfe",1.204428152e+15,"Rhododendron_ferrugineum",0.000143426978604081
"61","Spr",120442815200,"Salvia_pratensis",0.0211754105478949
"62","Spr",1204428152000,"Salvia_pratensis",0.020933267451938
"63","Spr",12044281520000,"Salvia_pratensis",0.0210638446369715
"64","Spr",120442815200000,"Salvia_pratensis",0.020918401203367
"65","Spr",1.204428152e+15,"Salvia_pratensis",0.0208121229055974
