"","sp","K","species_name","prop_infer_Lambda"
"1","Aal",120442815200,"Abies_alba",0.0212324744368445
"2","Aal",1204428152000,"Abies_alba",0.021265682590506
"3","Aal",12044281520000,"Abies_alba",0.0212617348263376
"4","Aal",120442815200000,"Abies_alba",0.0212542421834498
"5","Aal",1.204428152e+15,"Abies_alba",0.0212299737351495
"6","Aca",120442815200,"Acer_campestre",0.0817293969135329
"7","Aca",1204428152000,"Acer_campestre",0.0815615026568782
"8","Aca",12044281520000,"Acer_campestre",0.0816614017278207
"9","Aca",120442815200000,"Acer_campestre",0.0816017773902041
"10","Aca",1.204428152e+15,"Acer_campestre",0.0816055811592741
"11","Bme",120442815200,"Briza_media",0.0830968723217357
"12","Bme",1204428152000,"Briza_media",0.0831981878673137
"13","Bme",12044281520000,"Briza_media",0.0829560092402584
"14","Bme",120442815200000,"Briza_media",0.0830717561145135
"15","Bme",1.204428152e+15,"Briza_media",0.0830084558410176
"16","Cbe",120442815200,"Carpinus_betulus",0.0268927040901456
"17","Cbe",1204428152000,"Carpinus_betulus",0.0267962784996723
"18","Cbe",12044281520000,"Carpinus_betulus",0.0268544128867934
"19","Cbe",120442815200000,"Carpinus_betulus",0.0268669980556721
"20","Cbe",1.204428152e+15,"Carpinus_betulus",0.0268669565948354
"21","Cbp",120442815200,"Capsella_bursa-pastoris",0.0248061296170566
"22","Cbp",1204428152000,"Capsella_bursa-pastoris",0.0246583486334368
"23","Cbp",12044281520000,"Capsella_bursa-pastoris",0.0247750646254421
"24","Cbp",120442815200000,"Capsella_bursa-pastoris",0.0247406919878036
"25","Cbp",1.204428152e+15,"Capsella_bursa-pastoris",0.0247474468472273
"26","Fex",120442815200,"Fraxinus_excelsior",0.0563405188963655
"27","Fex",1204428152000,"Fraxinus_excelsior",0.0564302237233434
"28","Fex",12044281520000,"Fraxinus_excelsior",0.0563126148814223
"29","Fex",120442815200000,"Fraxinus_excelsior",0.0563917282042332
"30","Fex",1.204428152e+15,"Fraxinus_excelsior",0.0563185826679244
"31","Gro",120442815200,"Geranium_robertianum",0.0707571418181907
"32","Gro",1204428152000,"Geranium_robertianum",0.0714941952678597
"33","Gro",12044281520000,"Geranium_robertianum",0.0709286145309711
"34","Gro",120442815200000,"Geranium_robertianum",0.0711712210412435
"35","Gro",1.204428152e+15,"Geranium_robertianum",0.0711515357553092
"36","Lco",120442815200,"Lotus_corniculatus",0.115766724654425
"37","Lco",1204428152000,"Lotus_corniculatus",0.115814647309831
"38","Lco",12044281520000,"Lotus_corniculatus",0.116048591206974
"39","Lco",120442815200000,"Lotus_corniculatus",0.11599094290776
"40","Lco",1.204428152e+15,"Lotus_corniculatus",0.115979628284855
"41","Lxy",120442815200,"Lonicera_xylosteum",0.0387067358710825
"42","Lxy",1204428152000,"Lonicera_xylosteum",0.038819839264043
"43","Lxy",12044281520000,"Lonicera_xylosteum",0.0387296381599672
"44","Lxy",120442815200000,"Lonicera_xylosteum",0.0387611255789492
"45","Lxy",1.204428152e+15,"Lonicera_xylosteum",0.0387860370208363
"46","Ptr",120442815200,"Populus_tremula",0.20312598051809
"47","Ptr",1204428152000,"Populus_tremula",0.202708954555402
"48","Ptr",12044281520000,"Populus_tremula",0.203033964764762
"49","Ptr",120442815200000,"Populus_tremula",0.203130178076781
"50","Ptr",1.204428152e+15,"Populus_tremula",0.202938402317153
"51","Rca",120442815200,"Rosa_canina",0.123817933703027
"52","Rca",1204428152000,"Rosa_canina",0.122769370770872
"53","Rca",12044281520000,"Rosa_canina",0.123601219850472
"54","Rca",120442815200000,"Rosa_canina",0.123272316727967
"55","Rca",1.204428152e+15,"Rosa_canina",0.123215678984313
"56","Rfe",120442815200,"Rhododendron_ferrugineum",0.038597138053904
"57","Rfe",1204428152000,"Rhododendron_ferrugineum",0.0384795072609259
"58","Rfe",12044281520000,"Rhododendron_ferrugineum",0.0385530971036969
"59","Rfe",120442815200000,"Rhododendron_ferrugineum",0.0385495468716098
"60","Rfe",1.204428152e+15,"Rhododendron_ferrugineum",0.03858924884258
"61","Spr",120442815200,"Salvia_pratensis",0.1151302491056
"62","Spr",1204428152000,"Salvia_pratensis",0.116003261599916
"63","Spr",12044281520000,"Salvia_pratensis",0.115283636195083
"64","Spr",120442815200000,"Salvia_pratensis",0.115197474859814
"65","Spr",1.204428152e+15,"Salvia_pratensis",0.115562471949525
