Well,Status,Concentration,Negatives,AcceptedDroplets,Sample,sp,Dilu,plate,Used,TotalDNA,Concentration_copies_ng
A03,Manual,4230,401,14552,16,Lxy,1,1,TRUE,0.0625,67680
A04,OK,4690,274,14772,18,Aal,1,1,TRUE,0.0625,75040
A05,Manual,7700,21,14223,20,Aca,1,1,TRUE,0.0625,123200
A06,Manual,8500,11,15181,22,Bme,1,1,TRUE,0.0625,136000
A07,Manual,9400,5,14896,32,Lco,1,1,TRUE,0.0625,150400
A09,OK,2460,1755,14166,26,Cbp,1,1,TRUE,0.0625,39360
A10,OK,4740,249,14013,28,Gro,1,1,TRUE,0.0625,75840
A11,OK,2214,2347,15410,30,Rfe,1,1,TRUE,0.0625,35424
B03,OK,4360,331,13520,16,Lxy,1,1,TRUE,0.0625,69760
B04,Manual,4890,210,13424,18,Aal,1,1,TRUE,0.0625,78240
B05,OK,8500,11,14998,20,Aca,1,1,TRUE,0.0625,136000
B06,OK,7690,22,15171,22,Bme,1,1,TRUE,0.0625,123040
B07,Manual,8400,12,15173,32,Lco,1,1,TRUE,0.0625,134400
B09,Manual,2500,1793,14964,26,Cbp,1,1,TRUE,0.0625,40000
B10,OK,4540,336,15900,28,Gro,1,1,TRUE,0.0625,72640
B11,Manual,2072,2854,16603,30,Rfe,1,1,TRUE,0.0625,33152
C03,OK,410,10140,14362,16,Lxy,2,1,TRUE,0.00625,65600
C04,OK,596,8602,14278,18,Aal,2,1,TRUE,0.00625,95360
C05,OK,915,6381,13892,20,Aca,2,1,TRUE,0.00625,146400
C06,OK,855,7062,14601,22,Bme,2,1,TRUE,0.00625,136800
C08,OK,1198,5901,16330,24,Rca,2,1,TRUE,0.00625,191680
C09,OK,197,13079,15459,26,Cbp,2,1,TRUE,0.00625,31520
C10,Manual,449,10619,15557,28,Gro,2,1,TRUE,0.00625,71840
C11,OK,209,13771,16449,30,Rfe,2,1,TRUE,0.00625,33440
C12,Manual,870,7582,15879,32,Lco,2,1,TRUE,0.00625,139200
D03,OK,372,10960,15031,16,Lxy,2,1,TRUE,0.00625,59520
D04,OK,559,9455,15201,18,Aal,2,1,TRUE,0.00625,89440
D05,OK,865,6969,14542,20,Aca,2,1,TRUE,0.00625,138400
D06,OK,805,7786,15430,22,Bme,2,1,TRUE,0.00625,128800
D08,OK,1303,5307,16062,24,Rca,2,1,TRUE,0.00625,208480
D09,OK,238,13531,16562,26,Cbp,2,1,TRUE,0.00625,38080
D10,OK,458,10568,15593,28,Gro,2,1,TRUE,0.00625,73280
D11,OK,215,13574,16293,30,Rfe,2,1,TRUE,0.00625,34400
D12,Manual,874,8092,17012,32,Lco,2,1,TRUE,0.00625,139840
E03,OK,47,14448,15037,16,Lxy,3,1,TRUE,6.25e-4,75200
E04,OK,61,13699,14428,18,Aal,3,1,TRUE,6.25e-4,97600
E05,Manual,97,12240,13292,20,Aca,3,1,TRUE,6.25e-4,155200
E06,OK,80,12467,13340,22,Bme,3,1,TRUE,6.25e-4,128000
E08,OK,139,13581,15278,24,Rca,3,1,TRUE,6.25e-4,222400
E09,OK,26.2,15293,15638,26,Cbp,3,1,TRUE,6.25e-4,41920
E10,OK,72,14554,15473,28,Gro,3,1,TRUE,6.25e-4,115200
E11,OK,31.7,16518,16969,30,Rfe,3,1,TRUE,6.25e-4,50720
F03,OK,54.6,13268,13898,16,Lxy,3,1,TRUE,6.25e-4,87360
F04,OK,63.9,13754,14522,18,Aal,3,1,TRUE,6.25e-4,102240
F05,OK,79,12231,13076,20,Aca,3,1,TRUE,6.25e-4,126400
F06,OK,63,12126,12793,22,Bme,3,1,TRUE,6.25e-4,100800
F08,Manual,140,13262,14944,24,Rca,3,1,TRUE,6.25e-4,224000
F09,OK,25.2,14278,14587,26,Cbp,3,1,TRUE,6.25e-4,40320
F10,OK,53.1,14095,14746,28,Gro,3,1,TRUE,6.25e-4,84960
F11,OK,23.6,16321,16652,30,Rfe,3,1,TRUE,6.25e-4,37760
G03,OK,5.8,13755,13823,16,Lxy,4,1,TRUE,6.25e-5,92800
G05,OK,10.4,14498,14627,20,Aca,4,1,TRUE,6.25e-5,166400
H03,OK,4.5,14765,14822,16,Lxy,4,1,TRUE,6.25e-5,72000
H06,OK,9.3,15204,15325,20,Aca,4,1,TRUE,6.25e-5,148800
A01,Manual,8000,18,16241,20,Aca,1,2,TRUE,0.0625,128000
A02,Manual,8000,17,15090,4,Spr,1,2,TRUE,0.0625,128000
A05,OK,3470,1064,20261,10,Cbe,1,2,TRUE,0.0625,55520
A06,OK,10.8,17749,17912,4,Spr,4,2,TRUE,6.25e-5,172800
B01,OK,4790,268,15653,12,Fex,1,2,TRUE,0.0625,76640
B02,OK,574,9674,15754,12,Fex,2,2,TRUE,0.00625,91840
B04,OK,53.6,18527,19390,12,Fex,3,2,TRUE,6.25e-4,85760
B05,OK,55.1,16595,17391,12,Fex,3,2,TRUE,6.25e-4,88160
B06,OK,15,16102,16309,6,Ptr,4,2,TRUE,6.25e-5,240000
C02,OK,900,7235,15544,4,Spr,2,2,TRUE,0.00625,144000
C03,OK,1597,4354,16927,6,Ptr,2,2,TRUE,0.00625,255520
C05,OK,310,15673,20397,10,Cbe,2,2,TRUE,0.00625,49600
D01,OK,69.1,16897,17919,20,Aca,3,2,TRUE,6.25e-4,110559.99999999999
D02,OK,903,7691,16565,4,Spr,2,2,TRUE,0.00625,144480
D03,OK,1606,4460,17471,6,Ptr,2,2,TRUE,0.00625,256960
D05,OK,333,13773,18278,10,Cbe,2,2,TRUE,0.00625,53280
D06,OK,3.4,18071,18124,10,Cbe,4,2,TRUE,6.25e-5,54400
E01,OK,7.5,17648,17761,20,Aca,4,2,TRUE,6.25e-5,120000
E02,OK,102,13622,14856,4,Spr,3,2,TRUE,6.25e-4,163200
E03,OK,148,15175,17209,6,Ptr,3,2,TRUE,6.25e-4,236800
E05,OK,32.2,17868,18364,10,Cbe,3,2,TRUE,6.25e-4,51520
E06,OK,5.8,18156,18245,12,Fex,4,2,TRUE,6.25e-5,92800
F02,OK,103,13538,14778,4,Spr,3,2,TRUE,6.25e-4,164800
F03,OK,157,14790,16903,6,Ptr,3,2,TRUE,6.25e-4,251200
