"Well","Cq","Dilu","Repli","probe","sp","Neg","Sample","species_name","Molecules_ng","CDNA_sample","copies_ul","CDNA_well"
"A01",23.5729673278769,1,1,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A02",23.4709664603247,1,2,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A03",23.5375404152046,1,3,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A04",24.078218479375,1,4,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A05",23.9309390629192,1,5,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A06",24.0731146984701,1,6,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,654.383333333333,0.012425
"A07",23.2386051856088,1,7,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,654.383333333333,0.0169822664359862
"A08",23.1592641480431,1,8,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,654.383333333333,0.0169822664359862
"A09",23.1540243278446,1,9,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,654.383333333333,0.0169822664359862
"A10",24.1660112784972,1,10,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,654.383333333333,0.00751819087009804
"A11",24.1845608375907,1,11,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,654.383333333333,0.00751819087009804
"A12",24.4465590967257,1,12,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,654.383333333333,0.00751819087009804
"B01",26.1399763561327,2,1,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,130.876666666667,0.002485
"B02",26.0848673906448,2,2,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,130.876666666667,0.002485
"B03",25.9760564629498,2,3,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,130.876666666667,0.002485
"B04",26.5647254491388,2,4,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,130.876666666667,0.002485
"B05",26.5637664465765,2,5,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,130.876666666667,0.002485
