"Cycle","Well","RFU","Dilu","Repli","probe","sp","Neg"
1,"A1",-93.1988032752161,1,1,"CbeA","Cbe",FALSE
1,"A2",-24.4038515838356,1,2,"CbeA","Cbe",FALSE
1,"A3",15.1177514180199,1,3,"CbeA","Cbe",FALSE
1,"A4",15.2061607693749,1,4,"CbeB","Cbe",FALSE
1,"A5",-5.51541503002954,1,5,"CbeB","Cbe",FALSE
1,"A6",-21.3980383956168,1,6,"CbeB","Cbe",FALSE
1,"A7",-14.3421790154875,1,7,"Cbp","Fex",FALSE
1,"A8",-23.5127875350399,1,8,"Cbp","Fex",FALSE
1,"A9",-20.0199947404121,1,9,"Cbp","Fex",FALSE
1,"A10",-20.23982968153,1,10,"Fex","Fex",FALSE
1,"A11",-57.992049843524,1,11,"Fex","Fex",FALSE
1,"A12",-115.0241996186,1,12,"Fex","Fex",FALSE
1,"B1",-35.7848646610573,2,1,"CbeA","Cbe",FALSE
1,"B2",42.5840494234262,2,2,"CbeA","Cbe",FALSE
1,"B3",29.3201175784016,2,3,"CbeA","Cbe",FALSE
1,"B4",21.4250162499393,2,4,"CbeB","Cbe",FALSE
1,"B5",8.2390695928525,2,5,"CbeB","Cbe",FALSE
1,"B6",2.97351707074722,2,6,"CbeB","Cbe",FALSE
1,"B7",5.64942119103307,2,7,"Cbp","Fex",FALSE
1,"B8",8.40382902684087,2,8,"Cbp","Fex",FALSE
1,"B9",10.8224624357367,2,9,"Cbp","Fex",FALSE
1,"B10",31.8060369976338,2,10,"Fex","Fex",FALSE
1,"B11",27.1576647391876,2,11,"Fex","Fex",FALSE
1,"B12",-33.2355934976604,2,12,"Fex","Fex",FALSE
1,"C1",-13.0068849310264,3,1,"CbeA","Cbe",FALSE
1,"C2",31.2539807394933,3,2,"CbeA","Cbe",FALSE
1,"C3",29.0028566253459,3,3,"CbeA","Cbe",FALSE
1,"C4",16.3285275219896,3,4,"CbeB","Cbe",FALSE
1,"C5",28.4327357024704,3,5,"CbeB","Cbe",FALSE
1,"C6",15.4591179745421,3,6,"CbeB","Cbe",FALSE
1,"C7",20.4737150370484,3,7,"Cbp","Fex",FALSE
1,"C8",18.6164026781166,3,8,"Cbp","Fex",FALSE
1,"C9",14.4251908132046,3,9,"Cbp","Fex",FALSE
1,"C10",40.9879425634726,3,10,"Fex","Fex",FALSE
1,"C11",58.4397143096876,3,11,"Fex","Fex",FALSE
1,"C12",-42.8915795348394,3,12,"Fex","Fex",FALSE
1,"D1",17.2915494263243,4,1,"CbeA","Cbe",FALSE
1,"D2",23.3283871439071,4,2,"CbeA","Cbe",FALSE
1,"D3",43.9050251530534,4,3,"CbeA","Cbe",FALSE
1,"D4",27.5198048118373,4,4,"CbeB","Cbe",FALSE
1,"D5",12.0519446746212,4,5,"CbeB","Cbe",FALSE
1,"D6",39.5765960194049,4,6,"CbeB","Cbe",FALSE
1,"D7",17.1096691851812,4,7,"Cbp","Fex",FALSE
1,"D8",2.99746567835746,4,8,"Cbp","Fex",FALSE
1,"D9",8.280500193629,4,9,"Cbp","Fex",FALSE
1,"D10",21.1353234298258,4,10,"Fex","Fex",FALSE
1,"D11",11.7421735057214,4,11,"Fex","Fex",FALSE
1,"D12",-22.9335855455092,4,12,"Fex","Fex",FALSE
1,"E1",25.8745737967574,5,1,"CbeA","Cbe",FALSE
1,"E2",30.0989877652837,5,2,"CbeA","Cbe",FALSE
1,"E3",6.92587497609475,5,3,"CbeA","Cbe",FALSE
1,"E4",18.670965442956,5,4,"CbeB","Cbe",FALSE
1,"E5",33.1045938953139,5,5,"CbeB","Cbe",FALSE
1,"E6",32.7496524267162,5,6,"CbeB","Cbe",FALSE
1,"E7",20.752005057825,5,7,"Cbp","Fex",FALSE
1,"E8",19.6112290325032,5,8,"Cbp","Fex",FALSE
1,"E9",18.1331562711957,5,9,"Cbp","Fex",FALSE
1,"E10",29.6146585222978,5,10,"Fex","Fex",FALSE
1,"E11",57.9585664673186,5,11,"Fex","Fex",FALSE
1,"E12",-1.45421165413245,5,12,"Fex","Fex",FALSE
2,"A1",-33.5298980563339,1,1,"CbeA","Cbe",FALSE
2,"A2",3.29600785851289,1,2,"CbeA","Cbe",FALSE
2,"A3",5.15919098253107,1,3,"CbeA","Cbe",FALSE
2,"A4",0.000844720680106548,1,4,"CbeB","Cbe",FALSE
2,"A5",-11.105094001965,1,5,"CbeB","Cbe",FALSE
2,"A6",-16.2828879749522,1,6,"CbeB","Cbe",FALSE
2,"A7",-0.847579910254808,1,7,"Cbp","Fex",FALSE
2,"A8",-7.42181233015663,1,8,"Cbp","Fex",FALSE
2,"A9",-10.4050287468904,1,9,"Cbp","Fex",FALSE
2,"A10",-17.4435960138671,1,10,"Fex","Fex",FALSE
2,"A11",-31.3599081198054,1,11,"Fex","Fex",FALSE
2,"A12",-50.7779814041387,1,12,"Fex","Fex",FALSE
2,"B1",-4.08265125984508,2,1,"CbeA","Cbe",FALSE
2,"B2",7.99888245369675,2,2,"CbeA","Cbe",FALSE
2,"B3",6.53451378444879,2,3,"CbeA","Cbe",FALSE
2,"B4",-9.9434261907063,2,4,"CbeB","Cbe",FALSE
