;Cycle;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;1;-93,1988032752161;-24,4038515838356;15,1177514180199;15,2061607693749;-5,51541503002954;-21,3980383956168;-14,3421790154875;-23,5127875350399;-20,0199947404121;-20,23982968153;-57,992049843524;-115,0241996186;-35,7848646610573;42,5840494234262;29,3201175784016;21,4250162499393;8,2390695928525;2,97351707074722;5,64942119103307;8,40382902684087;10,8224624357367;31,8060369976338;27,1576647391876;-33,2355934976604;-13,0068849310264;31,2539807394933;29,0028566253459;16,3285275219896;28,4327357024704;15,4591179745421;20,4737150370484;18,6164026781166;14,4251908132046;40,9879425634726;58,4397143096876;-42,8915795348394;17,2915494263243;23,3283871439071;43,9050251530534;27,5198048118373;12,0519446746212;39,5765960194049;17,1096691851812;2,99746567835746;8,280500193629;21,1353234298258;11,7421735057214;-22,9335855455092;25,8745737967574;30,0989877652837;6,92587497609475;18,670965442956;33,1045938953139;32,7496524267162;20,752005057825;19,6112290325032;18,1331562711957;29,6146585222978;57,9585664673186;-1,45421165413245;47,921464878782;17,8886018279572;-20,2322157195085;-23,2395021797151;48,9113125856438;165,653370927134;18,5123537962372;10,7312482916959;-19,5062724660347;14,4915056595009;39,8281955183938;-20,7099257872715;-19,1408103902822;-16,3062288168571;-19,9941994767014;5,35968650047471;-23,5489996331817;-24,8242604792858;-21,0975868802784;-19,2459289331828;-20,2851715485454;-18,8523551272074;-20,3738003043445;-24,4750966897018;-14,7168655689611;-18,0470007538534;-16,0354542463201;-19,9483699714929;-19,2228343946499;-15,8523856579081;-16,492527678125;-18,4911707418887;-15,8048822297824;-13,2315765914636;-15,0066113364633;-21,6443154463036
;2;-33,5298980563339;3,29600785851289;5,15919098253107;0,000844720680106548;-11,105094001965;-16,2828879749522;-0,847579910254808;-7,42181233015663;-10,4050287468904;-17,4435960138671;-31,3599081198054;-50,7779814041387;-4,08265125984508;7,99888245369675;6,53451378444879;-9,9434261907063;-2,76273645703986;1,02160040175659;-1,55274839954336;-3,18107199194037;-3,14415464850936;6,2768216458644;-5,32857691362642;-14,0286056476207;-11,6546302157449;-13,4079959673318;-13,4187158958966;-9,9573101437727;-1,8591171205635;8,3951079866938;-6,90760131684465;-2,49910121065795;-1,37911406026433;5,48613953570384;8,01453415766173;-26,575593977409;-3,82973616799245;4,02220201133423;2,09508711572471;7,08619705273577;-9,08275614555168;1,12348471881342;-2,75023650839466;-1,85556164057334;-4,76570776777862;12,3688135329257;1,15368693614801;6,15150074321537;2,44908118684361;1,43093548245361;-18,7032414082823;-8,74729292425036;9,60630642739943;-4,36937242053227;1,30795720996184;4,99791823781379;-1,5256782996421;7,87963509386373;29,1112952633339;8,38456781324385;37,5781401762069;-15,0393033725341;-16,6523939873859;-9,63697159521598;7,61884337454467;11,5373138858704;-0,529208278599981;1,92301262625006;-13,709196888512;15,73699609092;8,35322052036645;-15,5598782162533;-16,5582140010592;-10,2745071991167;-15,814969630821;13,7805675586023;-16,2036896081677;-20,2605157445596;-18,4838669621245;-9,9308269928174;-9,19814678222565;-13,5773500020855;-15,782873100959;-13,2680032556686;-10,9142435102062;-13,9586678391966;-10,7545367640614;-11,9060158672733;-10,3964028687651;-7,3116821217809;-10,1595726261644;-11,7764783277553;-14,2543754820117;-5,32566378030469;-5,65017131737932;-8,57356886758998
;3;-13,6001601875905;1,75177812432139;6,56951201358243;2,72999577019982;-1,17745992581877;-10,3241820572866;-3,63193834165031;3,79147084657052;-9,24241073736403;-11,3236184587149;0,681405536018246;-16,4826519298049;-0,352471182780391;7,3452485322332;13,7294093690998;-5,31537593304984;-1,71661242848313;7,88564908009812;-0,825678961375161;0,87679121166002;2,36578788372617;-0,119623197909277;-4,92520334021174;-0,825918257434751;5,81869779259614;-7,35872382768594;-7,16316790331166;-14,9839323083161;8,62994095040449;7,96977006066936;1,47811836031951;2,12582819133877;-3,02034908423275;-4,65051737307294;6,7364652094393;-21,7327802613454;10,0742887911647;9,72790256157077;2,02204913858623;1,56609861348261;-3,9349228961355;0,364417694341682;-2,35124094692856;-6,49995488849345;-1,97204790943169;0,817731332747826;-16,0751675318797;-4,13764351593181;8,60840518215991;0,808397156881256;-15,0484724952794;-3,55832986787391;3,43865323227601;0,842543641882912;-1,77401449417448;-2,4875486568958;-3,1646862214393;1,73570774698965;9,20557782620745;5,94611998061737;31,1837594616345;-7,82430979549372;-12,0103410151278;-6,01929761634574;1,25791576230768;-6,245392139449;-4,87644679062259;-2,12346942047952;-11,9662664422485;2,48400970417788;0,972804722317051;-12,348985144733;-12,4231681122956;-10,5279425464119;-14,3442916240701;17,5730548774445;-11,20372681052;-15,5609932386492;-7,73067217180778;-8,59966511060657;-10,5561041625106;-10,7717734639223;-9,14024667711237;-9,47060915561588;-10,3944134383837;-7,42049815140945;-7,28673776601909;-9,89869964926402;-8,95768479124217;-11,4011032325784;-8,11084707640248;-10,6285898129045;-7,50374232114154;-11,030309239301;-12,7815945637508;-12,8961340990177
;4;4,00683772852153;-3,05360767078946;8,31459856037964;-2,40865918880991;-4,02710370692421;-6,28130480614709;-0,382061297952532;-4,11862756134542;2,289454548094;-0,868575744197187;-1,05209131974971;-6,61359813462786;1,1800474439824;8,90177202269842;2,10521145507482;0,687443338294543;2,5908970972996;0,764353709188981;5,2492781125593;-0,692498177986181;0,87392581287213;-3,25421886322147;1,6280675009275;-0,544662957592664;3,91847416898327;-9,02037371405459;4,53400079881794;-4,89945924503809;5,25774688687125;3,46895592612873;1,24434865352487;2,39617689518855;-3,82676108725491;5,03456187704433;-1,04499735871559;-5,51107850249355;2,06159685512375;-2,18912670781538;1,1880656068497;3,23644849820175;5,27886312982264;6,53640628092398;-0,524129737315889;1,32987576350206;-4,55541612840352;-0,445313324287781;-1,68434676167726;4,82437903054688;0,449729557720275;-7,24466530839072;-6,182655931093;-8,4886635373623;-2,24916244081214;3,86754568211563;-1,84412518804356;-2,16793812647802;-1,89686479083593;-7,83793673673154;0,575163399540543;2,809669290903;25,0191231625067;-14,1569244698831;-10,6715449108538;-6,77740289658732;-6,41599989728638;-0,963619227540221;-6,94117458546816;-3,18813884915653;-6,18018323949536;-1,94157551794706;-8,2213719788233;-7,8662387450936;-11,3002306250919;-7,90380106599832;-8,76842164004893;23,4307398365927;-10,278374193992;-13,1752568557627;-13,2356915211153;-8,69491513748881;-9,119532661427;-6,76835242297284;-10,9172506017135;-10,0079533765015;-6,2796362980248;-10,147324283158;-5,25634539485372;-6,41142835140136;-10,7091364154494;-5,50761928620022;-5,56162240569029;-4,36308045583564;-3,60815918540402;-7,84557152882326;-6,35448689509894;-15,4676211002657
;5;8,07791581053698;-0,0413041327019528;17,3459033777135;6,51297389399315;13,1750995796447;-1,95695050622362;2,15992599951869;4,72041399335285;-0,924053742489832;5,42005142335984;9,47941748298763;7,25588672012691;4,9417545976994;14,6166189428923;4,15446037616948;1,34562208364878;4,71147690509952;1,96000364669544;-2,08849126570158;3,74143100315268;1,40346952787968;6,87814275581786;1,47080679411556;8,4169337540161;3,97876923091371;-10,2539329278507;5,44606273036061;16,4833166060362;0,520304816092903;6,63930001292374;-1,54116626021414;-1,73202002439439;0,503685929881613;-2,88215169579962;-0,0400798856726396;12,4737484193929;-2,35310190746532;-0,18160582236942;2,05325690419068;5,5639568525321;-0,169770243031962;-1,35999119861663;-1,44685652707813;-2,17808850530082;-2,05297290899807;3,16800056090142;3,34824633631069;-1,63859839690394;-1,88288012133034;-6,92994283147254;4,67495163023614;-6,23635963706238;11,5516361125665;5,05931391644026;-0,14196036255089;-2,82635821798476;-1,12881536606301;3,01590777537876;4,23370116451679;0,299068549328695;19,6157242715726;-6,51320802390637;-9,34249112241241;-1,97066147215583;-3,31333830189033;2,51470524515935;-2,72154361867388;3,87640123196616;-5,86437099350769;7,12010619490502;-0,677776277459088;-4,50873967586585;-7,67489066355574;-7,11421797819639;-7,9855091010827;29,9750581003118;-10,5613166156863;-10,143930405844;-8,55775997735282;-8,00950226982513;-8,98627057272188;-0,732714910723189;-4,32512544685642;-6,47014550959238;-6,79074720853669;-4,97423683776287;-0,902588056486366;-6,48754459323072;-5,12196932665347;-4,80327306029039;-3,36629533882069;-9,21644935822997;-5,18382228523387;-3,24291666266163;-6,4511175122625;-4,56459817030827
;6;13,9187398764998;10,6609595086502;-2,78434666169233;2,02061303759183;5,39739843232019;12,4124736564736;6,58734948577558;4,13669642424111;6,8871007121561;6,81915550370104;6,76646429762332;5,7754624675481;5,8494732696945;9,22169021120317;6,61928708538017;-1,55019867971714;5,580387278952;-0,606943144824982;5,63322337192722;-1,03734834592478;2,18267592548273;6,44303571562523;-1,28246551173652;2,64363538823;12,2600050883502;-3,13076412307782;-8,94156726374604;11,6033605440607;4,05706275963621;6,98593892006284;0,100930535098996;5,54058607928437;4,02129244358775;4,6784124973974;-4,31846057395433;0,558923189654706;4,16191045050255;0,928864280198468;-2,67754579521807;3,07662519462701;6,85501772405041;9,36585897450277;1,41173728562762;4,1920847715428;4,82701348862793;1,13360354612541;4,82685594366467;6,46804978065757;7,85293767999246;-2,46599511399018;-0,654262655840284;-2,48592702893711;8,65710200285139;1,38297942528607;0,288160169231105;3,19486027699486;2,51608077413994;1,50897593848276;-3,6771435172941;5,51071114568913;22,7361368263964;-9,58455164470979;-4,51209185758216;-4,24045116263915;-2,88829964653178;-5,01265916832563;1,95585583893626;-0,669856431876724;-6,48725242178125;0,0795434584406394;-6,60042353981589;-5,21637772777422;-3,33147133814418;-5,67763603288176;-2,52370452390414;35,4255732648357;-3,37306154253338;-8,36247642796707;-0,962735722864636;-5,46852480057396;-4,04808151116185;-3,94063121351519;-5,78997339355055;-2,74551147730745;-5,53129180418591;-2,02143809294148;-6,77183939611905;-3,69761612638194;-4,65340147541247;-5,05764682840572;-8,18448612244902;-4,78479370156037;-1,13216047204833;-0,787519016026181;-0,222098338644628;-5,37428519094738
;7;0,835411343737178;4,05358709841948;-3,56079558519286;9,12842178073697;-3,22580120803559;5,14847022998129;1,0946214330238;0,479978309173475;2,65212539867889;3,06066310096776;-2,086467071671;4,69028970958243;6,34013944520393;8,05836068153167;4,96760809649641;-2,03854578746632;-0,844972004239935;-0,318450535437478;-2,94413226887218;1,95792903942765;3,03536798832374;-0,171593791043961;3,95827488953455;-0,0236729047837798;-2,40525124585201;-5,31300266135895;2,4851162851146;2,08710198332301;-3,10679378950681;1,08861878937478;-0,693674319551064;2,95509437863757;6,01863250580618;1,14995580859977;-0,937445419649521;12,1658070207704;8,27067987348255;2,86310985304408;0,867105608373095;3,92444645994237;-1,03273089524919;-4,94023813256263;2,4789439680012;-1,94209215221099;-1,65369476737851;2,41283224098243;5,1482903700562;-2,4526061950346;4,58239514734487;14,5024170382403;-7,55485584898906;-1,46465928315865;-3,09491573689775;-13,0589388052285;3,81318953096888;4,85953596122818;-1,93629759594342;-1,46680738822943;-5,61542910359822;-5,03436240185511;7,53719616237322;-5,54650322610451;-2,99593819609299;1,55673915729358;-7,41416078940347;-8,09937867033659;-1,18191361918389;0,526984574260041;-5,0459193655347;1,97092244482155;2,31832039285837;0,381171312193146;-3,22875245813702;-5,45130015632094;-1,34558821438668;37,8539786649667;-5,50084868608155;-7,95638434492821;-2,8398312359177;0,344257826006469;-0,673330395040466;-6,94017127380585;-6,80634107581773;2,95931513434971;-2,87492297910831;0,34835487496548;-5,42948165966072;-3,03437601126871;-1,77646851359214;-0,882702287933625;-1,61213639891639;-3,47931155191964;-4,02044067056067;-4,03150411633032;0,859795503195073;0,745525690761042
;8;3,35025186436269;7,313705622425;5,61322861001554;-1,04495622049126;-2,031311064281;9,54434138871602;2,0305276511981;2,49057222007878;1,6883098645294;4,10450470451269;-2,53971650368294;9,37765295541794;9,58998315563531;0,160994849675262;2,37659467462709;0,410651164738738;1,39836700933665;6,98318333245061;2,64972408547101;3,98339933069201;1,84473951551081;1,56062529596329;11,4996216140917;-2,50602767865439;5,083345574536;2,77904325764393;3,40504424691335;13,1092759904968;-0,613742938439827;0,620645638293354;5,07440934214992;-2,49711062556662;0,333080856030847;9,68687483703343;2,56735895110432;4,69862867280335;1,53954606103707;4,68014313184813;7,83721033613256;-0,126340141140645;-1,00163112659538;3,10590960160243;3,41972456188751;5,23053332731797;7,10026728510456;-1,9680303704281;4,56178618372724;5,08914588151765;2,65386604183368;6,60536738977316;2,37316764073512;2,77647619413619;6,07691153984979;5,34643914186745;2,3565048519481;5,70046063758537;8,62688950563688;4,57009391774045;-0,78079109250848;2,20932315001119;10,8742211726358;0,114885556457011;0,103133871747104;-0,93170155507687;-1,94747802941674;0,452223308123394;3,91274252525591;1,01412109708554;-2,2197564570256;2,05750938166057;9,66338885934147;-2,24391456536478;-2,16839889957282;0,694915963465064;1,09425578960554;42,7626634235212;-3,78368188346212;-4,85186853383311;-1,68533782542909;0,341518717324107;-2,70887741812658;-4,1778579270499;-2,04987289034898;-3,13314426635179;1,80255777091998;0,236207018138884;-1,56675379292801;-0,90129801519879;-3,49646418481643;4,74009542991871;2,50025733679149;0,128424410953812;-5,17974269120032;-0,106976223717538;0,064031776810225;-0,409836665875901
;9;-1,89584667269446;0,706937635311988;-3,30111825139466;-7,47407736388777;0,341397587404572;-1,05459966534363;1,70664879394235;3,15831418396556;5,84266868119039;-0,465338516255542;-4,86613196086546;7,12646604504152;5,52741011314265;-2,32554864975282;-8,38120092237568;0,891125870277392;3,20641777407036;-1,88722124272408;0,439773645481637;6,0306893243519;4,85488849590593;2,01184895588904;1,2650410849119;2,09033649144931;-1,08858971232348;12,8428577534623;-7,58521724879938;0,706059229327366;0,94433073926848;-7,44257900339016;4,64444738030261;5,91194785521657;4,27879728601329;0,333548424462606;3,17668461085032;0,0906072640318598;0,219679184016059;-0,909440734412783;-3,63517865438553;3,71321351698771;0,656156609491518;1,72338373125149;0,64161759323315;2,45236004554772;3,70542682976838;-3,86645579146443;5,71866564974425;1,97350912417187;-2,01171848068589;4,6389186275992;5,22771847261629;-1,2557355047029;3,44348720566177;-0,245066454183871;3,07967735845568;0,0291905898475306;-0,171028587529236;4,83613254847751;0,084540174832;-4,5736856220019;-0,843478408300143;7,5819177929634;-5,95595807651125;0,935961884356857;2,36533459635302;-7,47010622883499;-2,68515617290132;-0,226718538813202;2,43134179906747;-2,4089457191385;1,03258999384798;-3,15910936861337;-1,81529149613743;2,27713481272986;0,282713428009629;43,7636909368503;-7,06773614320582;-2,86176199489864;0,376671160145634;-0,201385598898923;-2,28321337600755;0,222289652067957;1,32204983844167;-2,8255558701926;0,738488490327654;2,32513687569508;-3,85079833802638;1,41898523447799;0,72535550855855;-1,19433672864398;0,256796137718084;0,516762826282502;0,248105272632074;-1,80993817281842;-3,12677204196007;2,57378958555546
;10;-1,9749770569706;-7,38291019343978;-8,62255580015699;-0,827674696814938;-1,4151828019676;3,80877318653438;7,41575348954893;-1,92738753199865;3,33614686805277;6,55049886501911;7,17515709673444;7,9888187466504;-4,44760242628035;-13,3185799125713;-1,9675652640808;6,9562492780733;0,426440241262753;-5,12267869522384;1,69861879568589;-3,58422629057486;-6,54846460244016;0,00161646688957262;0,157375302419496;-3,86139474969059;-8,34654758335;10,6068880568746;4,05841340680126;-3,8517137256631;-3,81450278649208;-1,01136914619747;5,77537817827124;3,10695969528342;1,6886683798225;-8,23020169290885;4,65955783352456;3,08626959839057;-1,0401768306765;1,42931833118746;3,1590644119924;5,81956635727238;-1,36544989475715;2,81856661892562;0,279794499098898;2,02748181940069;0,7769910138868;-0,149340264381863;6,17463390476587;3,04352176881821;-1,10544107020633;3,66059248586225;3,32605793766288;6,56859671591064;-2,10925895249693;0,360097746802239;0,611538648031456;-2,32935985649874;1,35600274359149;4,51609296867082;-1,33419910622706;-5,65806440293545;-4,26787354177122;15,2237099440135;0,384600258876617;1,58397870341514;8,02937132583611;3,82299510654593;-1,02006248611178;-0,281825170800403;3,94488399941065;4,35748350938047;2,34264536736646;-2,27256459198543;-2,39070449860355;3,20194305336781;-4,20862281640484;46,6704735169837;1,81875552257861;-3,17581906416854;-1,42918860223926;0,546220659385199;-1,52450240059579;0,744552261589888;0,408905126487753;-0,967322894386598;0,5807268671565;-0,579317495826672;1,08639862434302;-0,199671152975952;4,38284085199712;-1,54329147040835;0,783548404087924;0,0916288523867479;1,80807415859772;3,22007888820872;-1,46241586874021;-2,15524592057091
