Rosa_canina,Briza_media,Lotus_corniculatus,Populus_tremula,Acer_campestre,Rhododendron_ferrugineum,Capsella_bursa-pastoris,Fraxinus_excelsior,Carpinus_betulus,Lonicera_xylosteum,Abies_alba,Salvia_pratensis,Geranium_robertianum
16194,14955,5867,1724,64,4,77,239,11,335,1,221,11
12189,11474,4631,1821,50,6,60,250,7,290,0,261,5
24128,20167,9114,2637,92,5,124,439,16,589,6,324,14
26265,22851,9431,2502,109,8,99,427,19,589,3,288,9
15450,13947,5384,1089,67,4,61,193,9,327,1,152,3
7964,9255,2895,428,38,2,20,82,4,127,2,52,1
22809,21481,8729,3480,86,11,124,479,32,599,2,407,16
8819,7825,3219,1542,30,8,43,152,8,255,1,207,9
29218,24660,11441,5442,115,13,147,605,26,861,1,566,25
29777,24028,11834,5634,121,11,184,603,31,971,1,607,21
2124,1830,754,246,17,1,16,46,3,43,0,31,3
26734,24515,9401,3939,68,5,95,491,23,617,5,547,13
21055,18892,7444,2132,68,10,75,287,9,405,3,243,5
38883,34716,14086,4958,115,11,166,579,13,876,4,534,8
18112,16479,6647,3239,62,13,95,367,19,503,0,294,16
5055,4529,1866,588,24,7,19,77,5,120,1,70,1
5617,4457,2235,1347,19,2,36,88,3,164,0,114,2
9961,8161,3988,2643,48,1,47,200,10,281,0,231,10
4456,5768,1474,178,23,0,17,41,1,75,0,27,2
