"Well","Cq","End.RFU","Dilu","Repli","probe","sp","Neg","Sample","species_name","Molecules_ng","CDNA_sample","Volume_equi","RankG","cDNA_U","molecules_U","propU","molecules_T","propT","cDNA_G","molecules_G","propG","efficiencies","copies_ul","CDNA_well","RFU_Cq","K"
"A01",23.5729673278769,3253.94991199031,1,1,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.800441080009,3623488807728.58
"A02",23.4709664603247,3261.71738242786,1,2,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.800441080012,3632138400671.24
"A03",23.5375404152046,3485.07878705582,1,3,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.800441080013,3880866122866.81
"A04",24.078218479375,1797.56485427366,1,4,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.800441080014,2001707557521.25
"A05",23.9309390629192,1944.28303911524,1,5,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.80044108001,2165087976717.3
"A06",24.0731146984701,1853.4699175761,1,6,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,4.7106835443038,11,0.181180136319377,9542.15384615385,0.0769230769230769,2025.64102564103,0.0357119832376922,0.00115006922468354,60.5703125,0.000488340861921621,0.943328372807558,654.383333333333,0.012425,130.800441080005,2063961549331.56
"A07",23.2386051856088,3357.70005965513,1,7,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,6.43847750865052,9,0.247633750332712,9542.15384615385,0.0769230769230769,1482.05128205128,0.0261285143182103,0.00628757569204152,242.28125,0.00195336344768649,0.963505706696384,654.383333333333,0.0169822664359862,130.800441080011,3739021470809.3
"A08",23.1592641480431,3256.21546916617,1,8,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,6.43847750865052,9,0.247633750332712,9542.15384615385,0.0769230769230769,1482.05128205128,0.0261285143182103,0.00628757569204152,242.28125,0.00195336344768649,0.963505706696384,654.383333333333,0.0169822664359862,130.800441080009,3626011655741.61
"A09",23.1540243278446,3387.51246343894,1,9,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,6.43847750865052,9,0.247633750332712,9542.15384615385,0.0769230769230769,1482.05128205128,0.0261285143182103,0.00628757569204152,242.28125,0.00195336344768649,0.963505706696384,654.383333333333,0.0169822664359862,130.800441080011,3772219557554.28
"A10",24.1660112784972,2733.70969154041,1,10,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,2.85036764705882,7,0.109629524886878,9542.15384615385,0.0769230769230769,3347.69230769231,0.0590197029305455,0.0111342486213235,969.125,0.00781345379074594,0.924186350904202,654.383333333333,0.00751819087009804,130.800441080008,3044166855296.52
