Sample,species_name,sp,Cmolecules_ref,CDNA_sample,mix,copies_ul,CDNA_well
10,Carpinus_betulus,Cbe,32.916666666666664,9.14,1,654.30328,0.01242348
12,Fraxinus_excelsior,Fe,54.4,22.4,1,654.30328,0.007517271139705882
26,Capsella_bursa-pastoris,Cbp,24.083333333333332,38.8,1,654.30328,0.01698018892733564
10,Carpinus_betulus,Cbe,32.916666666666664,9.14,2,130.860656,0.002484696
12,Fraxinus_excelsior,Fe,54.4,22.4,2,130.860656,0.0015034542279411763
26,Capsella_bursa-pastoris,Cbp,24.083333333333332,38.8,2,130.860656,0.0033960377854671277
10,Carpinus_betulus,Cbe,32.916666666666664,9.14,3,26.172131200000003,4.969392e-4
12,Fraxinus_excelsior,Fe,54.4,22.4,3,26.172131200000003,3.006908455882353e-4
26,Capsella_bursa-pastoris,Cbp,24.083333333333332,38.8,3,26.172131200000003,6.792075570934256e-4
10,Carpinus_betulus,Cbe,32.916666666666664,9.14,4,5.23442624,9.938784000000001e-5
12,Fraxinus_excelsior,Fe,54.4,22.4,4,5.23442624,6.013816911764706e-5
26,Capsella_bursa-pastoris,Cbp,24.083333333333332,38.8,4,5.23442624,1.358415114186851e-4
10,Carpinus_betulus,Cbe,32.916666666666664,9.14,5,1.0468852480000002,1.9877568e-5
12,Fraxinus_excelsior,Fe,54.4,22.4,5,1.0468852480000002,1.2027633823529411e-5
26,Capsella_bursa-pastoris,Cbp,24.083333333333332,38.8,5,1.0468852480000002,2.7168302283737024e-5
